TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,Pa_1_1_1,SHF_1_1_1,SHF_2_1_1,Rn_1_1_1,SWin_1_1_1
yyyy-mm-dd HH:MM,C,%,kPa,W m-2,W m-2,W m-2,W m-2
2014-11-05 12:30:00,6.503,76.18,-9999,10.10544,2.26121,119.59,270
2014-11-05 13:00:00,6.131,71.1,-9999,10.41839,2.67129,68.24,186.2
2014-11-05 13:30:00,6.272,75.56,94.5,7.35432,3.00652,91.55,208.7
2014-11-05 14:00:00,7.214,72.78,94.5,2.63898,3.14826,207.16,327
2014-11-05 14:30:00,6.837,74.04,94.5,4.92065,3.61476,126.98,257.8
2014-11-05 15:00:00,6.03,76.39,94.5,0.0053,4.28088,-5.2,100.7
2014-11-05 15:30:00,6.175,75.49,94.6,-7.76442,4.07701,7.75,116
2014-11-05 16:00:00,4.441,80.2,94.6,-12.44208,3.21905,-52.125,29.72
2014-11-05 16:30:00,4.714,89.7,94.6,-16.57574,1.87881,-64.793,16.98
2014-11-05 17:00:00,3.901,93.3,94.6,-19.05219,0.3063,-77.824,-1.636
2014-11-05 17:30:00,3.686,94.4,94.6,-21.76486,-1.27855,-60.384,-2.601
2014-11-05 18:00:00,4.133,89.1,94.6,-24.11065,-2.84245,-66.65,-3.293
2014-11-05 18:30:00,3.141,91.1,94.6,-25.79087,-4.23267,-73.777,-3.854
2014-11-05 19:00:00,3.501,92.9,94.6,-27.02103,-5.46509,-66.129,-2.636
2014-11-05 19:30:00,3.271,92.6,94.6,-27.32487,-6.4849,-73.46,-3.67
2014-11-05 20:00:00,3.056,93.8,94.6,-27.86633,-7.34807,-74.1,-3.402
2014-11-05 20:30:00,2.917,94,94.6,-27.94794,-8.08924,-74.723,-3.531
2014-11-05 21:00:00,2.586,94.5,94.6,-27.47114,-8.6592,-73.958,-3.648
2014-11-05 21:30:00,2.66,95.2,94.6,-27.17762,-9.13106,-73.723,-3.043
2014-11-05 22:00:00,2.901,93.9,94.6,-26.97941,-9.56415,-73.467,-3.488
2014-11-05 22:30:00,3.411,91.4,94.6,-26.79352,-9.98884,-72.791,-4.15
2014-11-05 23:00:00,3.509,89.2,94.6,-26.58953,-10.32265,-71.787,-4.457
2014-11-05 23:30:00,3.332,88.7,94.6,-26.1753,-10.57448,-69.114,-4.786
2014-11-06 00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014-11-06 00:30:00,3.108,86.4,94.5,-9999,-9999,-53.748,-4.111
2014-11-06 01:00:00,3.121,87.6,94.5,-9999,-9999,-32.125,-2.518
2014-11-06 01:30:00,3.591,88.2,94.5,-28.81732,-9.83124,-45.931,-2.978
2014-11-06 02:00:00,3.51,90.3,94.5,-27.09063,-9.70637,-52.956,-2.986
2014-11-06 02:30:00,4.019,90.5,94.4,-26.44844,-9.58499,-27.444,-1.699
2014-11-06 03:00:00,4.518,94.8,94.4,-22.86036,-9.42687,-2.079,-0.23
2014-11-06 03:30:00,4.862,94.7,94.3,-17.15346,-9.07496,-3.193,-0.502
2014-11-06 04:00:00,5.084,94.9,94.3,-13.27025,-8.61689,-4.255,-0.507
2014-11-06 04:30:00,5.139,95,94.3,-10.91232,-8.14423,-3.94,-0.436
2014-11-06 05:00:00,5.176,96.1,94.3,-9.62002,-7.67185,-3.38,-0.278
2014-11-06 05:30:00,5.463,93.9,94.2,-8.70796,-7.23763,-7.425,-0.442
2014-11-06 06:00:00,5.43,90.5,94.2,-8.35191,-6.8902,-12.971,-0.722
2014-11-06 06:30:00,5.534,89.7,94.2,-8.84626,-6.65449,-10.315,-0.601
2014-11-06 07:00:00,5.602,91.2,94.2,-8.94518,-6.4981,-12.141,-0.584
2014-11-06 07:30:00,5.765,90,94.1,-8.61785,-6.37888,-7.643,0.937
2014-11-06 08:00:00,5.9,89.9,94.1,-8.07832,-6.22983,0.117,9.34
